postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
HA01AD,HA0 1AD,HA,107,115.7,205,6,,125.7,125.7,,14.8,14.4,21,1,,15.6,15.6,,0,0,1,0,11,0,11,802,833,93,,867,867,
HA01AE,HA0 1AE,HA,107,127.1,593,5.5,,109.3,136.4,462,10,14.9,39,1,,14.3,16,37.5,0,1,1,0,24,2,26,589,535,253,,568,547,294
HA01AF,HA0 1AF,HA,63,77,205,5.5,24.3,97.1,97.1,,10,10.3,21,0.5,6.3,12.4,12.4,,0,1,1,3,15,0,15,555,432,116,317,661,661,
HA01AH,HA0 1AH,HA,107,103.9,331,6.7,25,109.6,118.2,331,10,12.4,36,0.7,6,13,13.9,36,0,0,3,1,25,1,26,592,651,52,909,570,574,680
HA01AJ,HA0 1AJ,HA,107,146.8,1096,8,,106.8,170.9,844.5,10.7,15.5,49,3.3,,15,17.6,44,0,0,4,0,21,2,23,475,414,372,,427,390,0
HA01AP,HA0 1AP,HA,107,168.8,1096,7.5,28,112.9,185.4,620,10,15.9,49,0.5,8,13.5,17.3,40,0,0,2,1,24,4,28,610,587,817,1656,550,492,148
HA01AQ,HA0 1AQ,HA,107,132.6,593,2,,116.1,136.4,462,19.5,16.7,39,1,,15.9,17.2,37.5,1,0,0,0,32,2,34,629,448,30,,501,518,780
HA01AR,HA0 1AR,HA,107,121.7,460,7,16.5,101,130.9,363.3,10,13.1,36,1,4.5,11.1,13.9,36,0,0,1,2,31,4,35,584,410,224,168,596,618,784
HA01AS,HA0 1AS,HA,107,98.3,331,8.8,11,128.7,154,331,10,10.6,36,1,1,13.7,16.5,36,0,0,4,1,7,1,8,426,334,855,15,301,264,3
HA01AT,HA0 1AT,HA,107,89,205,6.3,11.5,134.4,134.4,,10,8.7,21,0.9,1,13.1,13.1,,0,2,5,6,23,0,23,378,343,282,277,401,401,
HA01AU,HA0 1AU,HA,12.5,68.8,330,9.5,11.5,109,145.8,330,1.1,10.6,50,1,1,16,21.7,50,0,0,2,6,5,1,6,526,417,836,508,361,441,838
HA01BH,HA0 1BH,HA,72.1,58.7,107,5,15,74.8,74.8,,16.6,13.1,20,1,1,17.2,17.2,,0,0,1,1,6,0,6,79,59,43,0,85,85,
HA01BJ,HA0 1BJ,HA,78.1,133.7,1096,8.3,,95,160.1,713.5,10,15.1,49,0.8,,15.2,18.1,42.5,0,0,4,0,17,2,19,557,412,689,,520,500,336
HA01BL,HA0 1BL,HA,78.1,144.6,593,7.8,,103.5,167.5,487.4,19.5,16.8,39,1,,15.9,19.5,37.2,0,0,5,0,25,5,30,506,372,308,,539,506,340
HA01BN,HA0 1BN,HA,93.5,132.4,593,4.3,,94.8,152.6,461.3,10.2,15.6,39,0.7,,14.4,17.9,37,0,2,1,0,16,3,19,597,467,48,,679,621,311
HA01BS,HA0 1BS,HA,80,95.6,205,2,,97.6,97.6,,10,13.4,21,1,,13.7,13.7,,0,1,0,0,48,0,48,472,302,55,,421,421,
HA01BT,HA0 1BT,HA,107,101,331,4,,95,108.3,331,10,14,36,0.8,,13.8,15,36,0,3,1,0,50,3,53,340,284,253,,304,308,373
HA01BU,HA0 1BU,HA,78.1,95.9,331,,,84.1,95.9,331,10,15.2,36,,,14.2,15.2,36,0,0,0,0,20,1,21,514,399,,,490,490,487
HA01BW,HA0 1BW,HA,78.1,108.1,593,3,,89.7,115.3,462,19.5,16.8,39,0.5,,16.5,17.9,37.5,0,2,0,0,27,2,29,564,367,2,,603,584,320
HA01DB,HA0 1DB,HA,79.7,129.6,593,,,89.3,129.6,593,10,15.5,39,,,13.5,15.5,39,0,0,0,0,23,2,25,527,395,,,550,506,0
HA01DD,HA0 1DD,HA,79.8,124.2,460,,16.5,97.7,131.9,417,17.2,16.5,36,,1,15.4,17.6,36,0,0,0,2,25,3,28,520,417,,120,465,530,1067
HA01DF,HA0 1DF,HA,61.4,125.3,1096,,,81.2,125.3,1096,13.3,15.6,49,,,14.1,15.7,49,0,0,0,0,22,1,23,605,409,,,605,579,3
HA01DG,HA0 1DG,HA,67.5,90.1,205,6,,99.6,99.6,,13.5,13.4,21,1,,14.8,14.8,,0,0,1,0,9,0,9,894,777,215,,870,870,
HA01DH,HA0 1DH,HA,62.9,62.3,107,,12,68.6,68.6,,10,11.5,20,,10,11.8,11.8,,0,0,0,1,8,0,8,606,379,,1065,549,549,
HA01DL,HA0 1DL,HA,79,126.9,593,,,97.8,126.9,593,19.5,16.8,39,,,15.4,16.8,39,0,0,0,0,16,1,17,713,490,,,713,671,0
HA01DN,HA0 1DN,HA,73.3,82.9,205,6,19,93.8,93.8,,10,12.7,21,1,4,14.3,14.3,,0,0,2,1,20,0,20,797,489,125,405,765,765,
HA01DP,HA0 1DP,HA,52.3,72.9,205,6,,77.3,77.3,,10,11.9,21,1,,12.7,12.7,,0,0,1,0,15,0,15,512,469,399,,519,519,
HA01DQ,HA0 1DQ,HA,49.4,67.6,205,,,67.6,67.6,,10,11.6,21,,,11.6,11.6,,0,0,0,0,26,0,26,849,548,,,784,784,
HA01DR,HA0 1DR,HA,76.1,103.6,331,6,,76.6,112.9,331,17,16.2,36,1,,14.6,17.7,36,0,0,2,0,18,3,21,578,454,299,,559,577,681
HA01DS,HA0 1DS,HA,72.3,98.5,331,2,,90.5,103.8,331,10,13.7,36,1,,13.2,14.4,36,0,1,0,0,17,1,18,607,494,305,,625,590,0
HA01DT,HA0 1DT,HA,76.8,111.1,331,,,77.2,111.1,331,11.5,15.3,36,,,12.1,15.3,36,0,0,0,0,13,2,15,608,451,,,500,567,1005
HA01DU,HA0 1DU,HA,75.7,84.2,205,4.5,,93.1,93.1,,17.1,13.7,21,1,,15.1,15.1,,0,1,1,0,18,0,18,751,602,409,,789,789,
HA01DW,HA0 1DW,HA,63.7,78.4,331,,27,65.8,81.4,331,11.4,13.5,36,,14,12.1,13.5,36,0,0,0,1,16,1,17,645,612,,733,578,602,984
HA01DX,HA0 1DX,HA,76.4,107.2,593,6,,78.8,125.5,593,19,16,39,1,,16.7,18.7,39,0,1,1,0,10,1,11,529,370,263,,583,530,0
HA01EU,HA0 1EU,HA,57.3,79.4,205,,,79.4,79.4,,17.4,16.1,21,,,16.1,16.1,,0,0,0,0,8,0,8,1155,718,,,1011,1011,
HA01FU,HA0 1FU,HA,205,363.9,1096,,,125.5,364,841,21,24.6,49,,,14.5,24.6,44.7,0,0,0,0,6,3,9,582,541,,,589,453,180
HA01GH,HA0 1GH,HA,115,163.9,1000,,,105.7,163.9,775,25,27.3,115,,,19.5,26.1,95,0,0,0,0,21,2,23,431,414,,,439,431,348
HA01GL,HA0 1GL,HA,55,113.4,1000,,,65.4,113.4,665,10,18.6,115,,,13,18.6,82.5,0,0,0,0,23,2,25,492,409,,,480,492,624
HA01HB,HA0 1HB,HA,77.5,77.5,158.96,8,,82.1,82.1,,19.5,17.8,29.47,1,,18.9,18.9,,0,0,1,0,15,0,15,640,659,350,,659,659,
HA01HF,HA0 1HF,HA,107,196.7,1000,,,139.4,196.7,1000,10,23.2,115,,,16.6,23.2,115,0,0,0,0,14,1,15,528,447,,,443,458,667
HA01HL,HA0 1HL,HA,78.1,61.9,107,2,14,77.3,77.3,,19.5,13.3,20,1,1,17,17,,1,0,0,1,7,0,7,641,770,249,590,704,704,
HA01HN,HA0 1HN,HA,79.7,99.8,205,3,,105.2,105.2,,19.5,14.8,21,1,,15.6,15.6,,0,1,0,0,18,0,18,798,713,5,,709,709,
HA01HP,HA0 1HP,HA,107,101.3,205,4,,120.8,120.8,,10,11.9,21,1,,14.2,14.2,,0,1,0,0,5,0,5,512,594,853,,443,443,
HA01HR,HA0 1HR,HA,78.1,111.4,331,1,,99.2,122.4,331,10,15.2,36,1,,14.6,16.7,36,1,0,0,0,9,1,10,805,663,32,,859,883,1100
HA01HS,HA0 1HS,HA,79.8,88.9,205,,,88.9,88.9,,19.5,16.3,21,,,16.3,16.3,,0,0,0,0,14,0,14,489,509,,,454,454,
HA01HT,HA0 1HT,HA,107,103.3,331,5,26,94.7,115.3,331,10,13.6,36,1,8,13,15,36,0,1,1,1,21,2,23,418,296,100,54,360,389,691
HA01HU,HA0 1HU,HA,77,129.2,593,4,,101.3,134,526.5,20,17.7,39,1,,16.8,18.3,37.5,0,1,0,0,24,2,26,462,491,4,,500,462,7
HA01HW,HA0 1HW,HA,79.7,99.3,205,,,99.3,99.3,,19.5,16,21,,,16,16,,0,0,0,0,20,0,20,645,560,,,549,549,
HA01HX,HA0 1HX,HA,2.6,2.9,4.65,2.9,,,,,0.6,0.7,1,0.7,,,,,1,6,0,0,0,0,0,12,10,7,,,,
HA01HY,HA0 1HY,HA,77.6,119.8,331,,,77.6,119.8,331,19.8,18.4,36,,,15,18.5,36,0,0,0,0,5,1,6,687,626,,,540,687,1421
HA01HZ,HA0 1HZ,HA,61.7,78.9,107,,,79,79,,15.9,15.1,20,,,15,15,,0,0,0,0,5,0,5,332,289,,,332,332,
HA01JD,HA0 1JD,HA,58.9,57.5,107,6.5,,83,83,,10,8.6,20,1,,12.5,12.5,,0,0,2,0,4,0,4,539,454,44,,787,787,
HA01JE,HA0 1JE,HA,107,104.4,205,,,104.5,104.5,,10,13.3,21,,,13.3,13.3,,0,0,0,0,6,0,6,291,363,,,243,243,
HA01JF,HA0 1JF,HA,54.7,51,78.12,6.2,,57.4,57.4,,14.5,13.6,20,0.8,,15.4,15.4,,0,1,4,0,35,0,35,701,476,175,,776,776,
HA01JG,HA0 1JG,HA,61.5,56.2,78.12,4.5,,60.5,60.5,,19.3,15.3,20,1,,16.5,16.5,,0,2,0,0,24,0,24,639,544,923,,615,615,
HA01JR,HA0 1JR,HA,78.1,100.6,593,5.7,,87.7,108.5,462,18.3,15.5,39,1,,15.5,16.7,37.5,0,1,2,0,34,2,36,579,469,125,,595,601,702
HA01JS,HA0 1JS,HA,79.8,161.3,1096,6.5,,95.6,169.4,496.1,19.5,19.9,49,1,,17,20.9,38.3,0,0,2,0,31,7,38,591,531,183,,597,534,257
HA01JT,HA0 1JT,HA,54.8,52.2,79.67,6.5,24,62.3,62.3,,10,13.1,20,1,8,15.6,15.6,,0,0,2,1,12,0,12,468,380,729,437,427,427,
HA01JW,HA0 1JW,HA,3.1,3,5.54,3,,,,,0.9,0.8,1.01,0.8,,,,,1,4,1,0,0,0,0,97,38,65,,,,
HA01LB,HA0 1LB,HA,100,188.2,1000,3.2,,113.2,267.5,833.3,0.8,0.7,1,0.7,,0,0,0,4,14,0,0,33,9,42,361,297,361,,0,0,0
HA01LF,HA0 1LF,HA,150,200.2,1000,4,,104.8,208,750,0.7,0.7,0.74,1,,0,0,0,0,1,0,0,21,4,25,58,58,58,,0,0,0
HA01LG,HA0 1LG,HA,54.1,88.9,1000,5.5,22,69.6,102.8,750,10,11.1,19.53,0.8,10,9.8,9.4,0,1,0,5,1,39,2,41,708,559,496,151,537,510,0
HA01LH,HA0 1LH,HA,75.1,111.2,331,,,89.3,111.3,331,19,17,36,,,15.1,17,36,0,0,0,0,10,1,11,473,230,,,249,387,1764
HA01LJ,HA0 1LJ,HA,78.4,99.7,331,5,20.5,101.8,113.9,331,10,13.3,36,1.5,5.5,13.8,14.9,36,1,1,2,2,36,2,38,557,527,313,585,568,567,549
HA01LL,HA0 1LL,HA,107,129.6,593,1,,113.3,139.1,462,10,14.7,39,0.5,,14,15.7,37.5,2,0,0,0,25,2,27,580,467,43,,513,577,1379
HA01LP,HA0 1LP,HA,77.7,95.9,205,3,27,112.9,112.9,,10,12.7,21,0.8,7,14.8,14.8,,0,4,0,1,26,0,26,553,516,350,74,582,582,
HA01LR,HA0 1LR,HA,39.4,261,1096,,24,61.7,320.3,1096,7.5,15.5,49,,4,8,18.3,49,0,0,0,1,3,1,4,491,503,,340,377,283,0
HA01LS,HA0 1LS,HA,107,111,331,,,96.3,111,331,14.6,15.7,36,,,14.3,15.7,36,0,0,0,0,30,2,32,623,601,,,554,564,721
HA01LT,HA0 1LT,HA,107,118.9,331,3,,92.8,122.6,331,15.5,16.7,36,1,,14.5,17.2,36,0,1,0,0,28,4,32,557,444,0,,604,574,366
HA01LU,HA0 1LU,HA,205,189.5,331,2,,205,236.5,331,21,19.9,36,1,,21,24.8,36,1,0,0,0,3,1,4,523,582,53,,499,510,543
HA01LW,HA0 1LW,HA,61.1,79.5,205,,21.7,85.9,85.9,,10,11.3,21,,5,12,12,,0,0,0,3,27,0,27,800,658,,378,847,847,
HA01LX,HA0 1LX,HA,107,127.1,460,,26,103.4,130.5,374,19.3,17.2,36,,7,15.4,17.5,36,0,0,0,1,27,3,30,707,626,,875,666,631,310
HA01LY,HA0 1LY,HA,78.1,117.7,460,,29,92.4,120.6,374,12.9,16.3,36,,14,14.3,16.4,36,0,0,0,1,27,3,30,520,475,,428,459,489,754
HA01LZ,HA0 1LZ,HA,107,93,205,,23,139.7,139.7,,10,10.5,21,,6,13.7,13.7,,0,0,0,2,3,0,3,652,622,,682,415,415,
HA01NA,HA0 1NA,HA,107,99.4,593,5.5,25,91.7,107.9,593,10,13.3,39,1,17,13.1,14,39,0,0,2,1,30,1,31,605,448,226,450,575,557,0
HA01NB,HA0 1NB,HA,70.4,96.2,331,5.3,15,104.6,113.3,331,10,13.2,36,0.8,8,14.5,15.3,36,0,1,3,1,25,1,26,590,471,204,156,626,643,1084
HA01ND,HA0 1ND,HA,107,72.6,107,,21,107,107,,10,8.8,10,,7,10,10,,0,0,0,2,3,0,3,486,308,,216,505,505,
HA01NE,HA0 1NE,HA,107,114.5,331,5,,110.6,118.4,331,10,13.1,36,1,,12.7,13.5,36,0,1,0,0,27,1,28,635,605,92,,570,587,1036
HA01NF,HA0 1NF,HA,107,117.8,331,6,16,102,124.9,331,10,13.5,36,1,6,11.8,14.2,36,0,0,1,1,27,3,30,539,464,54,230,514,530,676
HA01NG,HA0 1NG,HA,78.1,104.5,460,2.5,29.5,95.4,117.7,395.5,10,13,36,1,6,12.7,14.4,36,1,1,0,2,25,2,27,562,500,35,211,588,544,0
HA01NH,HA0 1NH,HA,107,82.1,205,,22,102.1,102.1,,10,9.5,21,,6.3,10.6,10.6,,0,0,0,3,9,0,9,430,418,,711,336,336,
HA01NJ,HA0 1NJ,HA,67.2,54.5,74.33,4,,60.8,60.8,,19.3,16.3,20,1,,18.3,18.3,,0,1,0,0,8,0,8,563,480,132,,616,616,
HA01NQ,HA0 1NQ,HA,76.8,101.3,331,6,22.3,92.9,112.8,331,10,13.1,36,0,7,12.1,14.1,36,0,0,1,4,33,3,36,661,477,620,823,616,589,290
HA01NR,HA0 1NR,HA,9.3,15.8,36.94,8.8,19.5,37,37,,1,2.8,7.2,1,4,7,7,,0,0,4,2,1,0,1,54,39,70,36,27,27,
HA01NU,HA0 1NU,HA,107,85.2,205,8.7,11.8,104.7,104.7,,10,9.2,21,1,1,11.4,11.4,,0,0,3,8,42,0,42,462,401,880,513,367,367,
HA01NY,HA0 1NY,HA,107,162.6,1096,8,,112.5,176.1,844.5,10.7,15.3,49,1,,13.9,16.5,44,0,0,2,0,21,2,23,495,379,34,,516,471,0
HA01NZ,HA0 1NZ,HA,55.7,94.2,205,,,94.2,94.2,,10,12.1,21,,,12.1,12.1,,0,0,0,0,9,0,9,380,350,,,338,338,
HA01PA,HA0 1PA,HA,33.4,77.2,331,8.8,19.5,99.8,132.9,331,8.1,8.8,36,1,3,11.5,15,36,0,0,4,2,6,1,7,492,455,235,854,447,396,89
HA01PJ,HA0 1PJ,HA,53,262,1096,,19.5,53,383.3,713.5,14.9,19.4,49,,1,15,28.8,42.5,0,0,0,2,2,2,4,815,843,,465,1392,786,180
HA01QL,HA0 1QL,HA,80,137.4,1000,,,90.4,137.4,638.3,20,18.3,50,,,14.7,14.1,8.3,0,0,0,0,64,6,70,463,351,,,380,357,107
HA01QW,HA0 1QW,HA,80,126.7,1000,,,95.5,126.7,508,20,23.3,115,,,14.6,18.3,64,0,0,0,0,61,5,66,458,392,,,321,347,663
HA01QY,HA0 1QY,HA,150,179.3,1000,,,108.8,179.3,588,20,22.3,75,,,14,13.8,12.5,0,0,0,0,58,10,68,455,461,,,308,281,121
HA01RG,HA0 1RG,HA,80,110.8,330,,,90.9,110.8,330,20,23.3,50,,,14.5,17.5,50,0,0,0,0,11,1,12,675,544,,,431,506,1336
HA01RL,HA0 1RL,HA,80,161.2,1000,,,91.3,161.2,1000,20,20,30,,,13.3,12.3,0,0,0,0,0,12,1,13,862,850,,,575,530,0
HA01RP,HA0 1RP,HA,150,179.9,1000,,,114.9,179.9,625.7,20,23.3,75,,,8.5,9.7,17.9,0,0,0,0,48,7,55,591,585,,,255,247,196
HA01RQ,HA0 1RQ,HA,150,203.3,1000,,,104.8,203.3,808.6,20,25.6,115,,,10.5,13.3,30.7,0,0,0,0,43,7,50,454,391,,,240,236,212
HA01SG,HA0 1SG,HA,107,80.7,205,6.4,13,110.1,110.1,,10,7.9,21,1,1,10.7,10.7,,0,2,3,1,15,0,15,673,590,353,1493,680,680,
HA01SH,HA0 1SH,HA,61.3,104.5,593,7.7,21.3,109.5,126.8,593,10,12.9,39,1,4,14.6,15.5,39,0,0,3,4,27,1,28,799,636,381,637,868,838,26
HA01SL,HA0 1SL,HA,75.8,68.3,205,8.3,13.5,100.1,100.1,,10,9,21,0.5,1,13.5,13.5,,0,0,4,2,11,0,11,532,398,132,563,576,576,
HA01SN,HA0 1SN,HA,79.7,93.9,205,7,26,99.3,99.3,,10,14.9,29.27,1,8,15.7,15.7,,0,0,1,1,29,0,29,589,529,769,825,493,493,
HA01SP,HA0 1SP,HA,107,130.9,331,3,17,121.1,144.4,331,10,15.8,36,1,10,14.6,17,36,0,1,0,1,16,2,18,538,484,14,123,450,501,910
HA01SQ,HA0 1SQ,HA,107,127.7,460,4.5,10,120.6,156.7,373.7,10,14.5,50,1,1,13.8,17.7,40.7,0,3,1,1,18,3,21,615,411,181,604,541,581,820
HA01SW,HA0 1SW,HA,107,149.4,331,,,113,149.3,331,19.3,19.3,36,,,16,19.3,36,0,0,0,0,5,1,6,663,652,,,773,663,113
HA01SY,HA0 1SY,HA,107,124.2,331,,,117.1,124.2,331,19.5,18,36,,,17.4,18,36,0,0,0,0,29,1,30,770,666,,,757,770,1160
HA01SZ,HA0 1SZ,HA,78.1,78.2,205,5.8,,100.4,100.4,,10,11.9,29.97,0.8,,15.4,15.4,,0,1,3,0,13,0,13,733,577,992,,596,596,
HA01TA,HA0 1TA,HA,78.9,87.3,205,7,,93.5,93.5,,17.1,15,28.64,0.5,,16.1,16.1,,0,0,2,0,26,0,26,645,436,517,,630,630,
HA01TB,HA0 1TB,HA,78,99.4,205,5.3,,115.9,115.9,,20,17.6,29.97,0.7,,20.6,20.6,,0,1,2,0,17,0,17,612,374,305,,594,594,
HA01TD,HA0 1TD,HA,107,99.6,331,4,19.5,100.3,107.3,331,10,14.3,36,1,5.5,14.6,15.2,36,0,1,0,2,32,1,33,521,435,13,93,531,515,0
HA01TE,HA0 1TE,HA,80,91.6,331,5.4,27,100.8,108.7,331,10,13.7,36,0.6,16,15.2,15.9,36,0,2,3,1,28,1,29,443,405,244,207,427,439,774
HA01TF,HA0 1TF,HA,78.1,90,205,,,90,90,,19.5,15.5,21,,,15.5,15.5,,0,0,0,0,22,0,22,341,188,,,326,326,
HA01TG,HA0 1TG,HA,28.5,38.8,79.91,8.3,13.6,66,66,,10,9.6,20,0.7,2.8,17.3,17.3,,0,0,3,5,8,0,8,404,462,163,642,346,346,
HA01TS,HA0 1TS,HA,107,97.9,205,8,,106.9,106.9,,10,12.5,29.2,1,,13.7,13.7,,0,0,1,0,10,0,10,459,346,346,,470,470,
HA01TX,HA0 1TX,HA,9.5,9.4,13.92,6.5,13.3,,,,1,0.9,1.24,0.8,1,,,,1,0,3,3,0,0,0,385,294,223,473,,,
HA01TY,HA0 1TY,HA,79.9,104.2,205,,,104.1,104.1,,19.5,18.5,29.44,,,18.4,18.4,,0,0,0,0,7,0,7,284,129,,,244,244,
HA01TZ,HA0 1TZ,HA,107,140.7,331,,,116.9,140.7,331,18.2,17.7,36,,,15.4,17.7,36,0,0,0,0,16,2,18,446,374,,,347,421,1010
HA01UA,HA0 1UA,HA,80,121.9,593,8,,108.3,133.8,593,19.5,15.9,39,1,,16.3,17.5,39,0,0,2,0,18,1,19,340,367,172,,340,322,0
HA01UD,HA0 1UD,HA,107,99,205,7,13,116.8,116.8,,10,9.4,21,1,1,11.1,11.1,,0,0,1,1,10,0,10,724,565,433,1781,575,575,
HA01UE,HA0 1UE,HA,66,68.5,205,6.5,13,96,96,,8.6,7.7,21,0.8,1,10.8,10.8,,0,1,3,1,11,0,11,615,598,522,1104,604,604,
HA01UG,HA0 1UG,HA,107,125.1,331,8,,109.6,130.7,331,18.2,16.6,36,1,,15.4,17.4,36,0,0,1,0,19,2,21,763,559,69,,708,724,871
HA01UH,HA0 1UH,HA,107,182.1,593,,,102.1,182.1,462,20,21.7,39,,,17.1,21.7,37.5,0,0,0,0,7,2,9,2694,1078,,,2630,2096,226
HA01UJ,HA0 1UJ,HA,93.5,95.7,205,,29,99.6,99.6,,17.5,15.1,21,,7,15.6,15.6,,0,0,0,1,17,0,17,657,701,,171,647,647,
HA01UL,HA0 1UL,HA,107,159.9,593,4,,125.9,166.1,461.3,19.8,17.6,39,1,,15.7,18.2,37,0,1,0,0,22,3,25,691,447,212,,734,655,72
HA01UN,HA0 1UN,HA,77.5,88.4,331,6.7,11,94.5,111.4,331,10,13.8,36,1,1,16.1,17.5,36,0,0,3,1,13,1,14,653,492,638,220,693,687,604
HA01UP,HA0 1UP,HA,107,86.2,107,,,86.2,86.2,,10,13.1,19.95,,,13.1,13.1,,0,0,0,0,9,0,9,479,525,,,426,426,
HA01UQ,HA0 1UQ,HA,77.8,89.4,205,5,13,108.8,108.8,,16.6,13.7,21,0.7,1,16.8,16.8,,1,0,2,1,17,0,17,708,584,29,356,765,765,
HA01UR,HA0 1UR,HA,79.7,118,593,,,86.7,118,462,10,13.7,39,,,11.5,13.7,37.5,0,0,0,0,22,2,24,1064,694,,,1064,975,0
HA01UW,HA0 1UW,HA,93.3,122.7,331,,,99.6,122.7,331,19.5,17.6,36,,,15.6,17.6,36,0,0,0,0,9,1,10,537,516,,,489,537,975
HA01UY,HA0 1UY,HA,107,113.4,331,,11,93.8,118.7,331,10,15.1,36,,1,13.5,15.9,36,0,0,0,1,17,2,19,667,484,,14,722,667,198
HA01UZ,HA0 1UZ,HA,107,139,331,8,13,104.8,152.4,331,20,19.6,36,1,1,17.7,21.5,36,0,0,1,1,15,4,19,563,629,43,84,474,585,1003
HA01XD,HA0 1XD,HA,67.3,60.3,78.12,,17,63.7,63.7,,19.5,16,20,,1,17.2,17.2,,0,0,0,1,13,0,13,529,410,,300,546,546,
HA01XG,HA0 1XG,HA,74.2,65.9,79.91,,,65.9,65.9,,19.5,17,20,,,17,17,,0,0,0,0,14,0,14,350,293,,,350,350,
HA01XJ,HA0 1XJ,HA,67.2,60.8,78.12,6,,68.7,68.7,,19.5,17,19.53,0,,19.3,19.3,,0,0,1,0,7,0,7,474,489,131,,523,523,
HA01XQ,HA0 1XQ,HA,47.8,48,80,9,,54,54,,10,12.7,20,1,,14.5,14.5,,0,0,2,0,13,0,13,661,305,221,,729,729,
HA01XT,HA0 1XT,HA,58.2,47,77.8,5.4,,60.9,60.9,,17,13.1,20,0.8,,17.1,17.1,,0,2,3,0,15,0,15,550,404,497,,567,567,
HA01XU,HA0 1XU,HA,62.6,63.4,80,,,63.4,63.4,,19.5,17.6,20,,,17.6,17.6,,0,0,0,0,13,0,13,670,722,,,670,670,
HA01XY,HA0 1XY,HA,54.8,54.4,76.49,4,26,60.5,60.5,,19.5,15.6,20,1,8,17.4,17.4,,0,1,0,1,13,0,13,512,310,310,1227,473,473,
HA01YD,HA0 1YD,HA,7.8,8.3,19.68,7.2,13.5,,,,1,0.9,1.18,0.9,1,,,,0,3,15,4,0,0,0,405,384,434,173,,,
HA01YF,HA0 1YF,HA,107,205.5,1096,6,,128.8,225.5,1096,10,14.7,49,1,,12.4,16.1,49,0,0,1,0,9,1,10,551,623,813,,522,470,0
HA01YG,HA0 1YG,HA,54.8,44,71.51,4,,60,60,,17.5,12.2,19.53,0.5,,16.8,16.8,,0,2,0,0,5,0,5,278,299,161,,325,325,
HA01YN,HA0 1YN,HA,67,61.2,79.67,3.5,,64.9,64.9,,19.5,15.9,20,0.5,,16.9,16.9,,0,2,0,0,31,0,31,385,317,163,,400,400,
HA01YY,HA0 1YY,HA,67.4,62.2,78.12,,,62.2,62.2,,19.5,16.8,20,,,16.8,16.8,,0,0,0,0,20,0,20,583,624,,,583,583,
HA02AA,HA0 2AA,HA,79.7,79.2,287.34,,16.7,89.1,89.1,,20,17.7,41.01,,1,20.4,20.4,,0,0,0,3,19,0,19,273,190,,208,255,255,
HA02AF,HA0 2AF,HA,69.5,53.6,107,8,19,76,76,,10.5,11.2,20,1,1.4,17.4,17.4,,0,0,1,9,16,0,16,404,375,0,434,337,337,
HA02AH,HA0 2AH,HA,79.7,86.9,159.95,,,86.9,86.9,,19.5,16.3,29.96,,,16.3,16.3,,0,0,0,0,11,0,11,799,734,,,799,799,
HA02AJ,HA0 2AJ,HA,62.3,49.9,79.66,5,14,70.3,70.3,,12.1,10.8,19.98,1,0,16,16,,0,0,1,1,4,0,4,202,117,195,117,174,174,
HA02AL,HA0 2AL,HA,107,120.5,205,,,120.5,120.5,,19.5,18.2,29.95,,,18.2,18.2,,0,0,0,0,13,0,13,574,609,,,574,574,
HA02AN,HA0 2AN,HA,72.9,65.7,159.8,,20.8,81.6,81.6,,10,10.9,24.07,,2.8,13.8,13.8,,0,0,0,5,14,0,14,576,307,,563,581,581,
HA02AQ,HA0 2AQ,HA,78.1,90.4,460,6.5,19.3,90.8,105,460,10,13.1,36,0.5,3,14.4,15.2,36,0,0,2,3,25,1,26,527,323,8,214,547,582,1454
HA02AR,HA0 2AR,HA,107,158.9,593,,12,115.8,166.2,451.7,19.5,17.3,39.24,,1,14.6,18.1,38,0,0,0,1,17,3,20,518,416,,630,530,461,70
HA02AS,HA0 2AS,HA,107,120,593,8.5,,105.4,132.4,593,10,13.1,39,1,,13.1,14.5,39,0,0,2,0,17,1,18,538,447,513,,541,511,0
HA02AT,HA0 2AT,HA,71.1,78.7,331,8.7,,75.3,94.9,331,10,12.2,36,1,,13.1,14.8,36,0,0,3,0,12,1,13,644,424,616,,389,551,2498
